Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Geelong,77,7,88,1,88,2,74,13,73,10,79,4,80,1
Sydney,76,9,82,3,84,4,78,7,81,5,81,1,80,1
Melbourne,84,3,78,7,72,8,81,1,74,9,80,2,78,3
Brisbane,76,9,76,10,91,1,76,10,69,13,79,4,78,3
Richmond,68,14,82,3,88,2,81,1,67,16,78,6,77,5
Carlton,86,2,82,3,70,12,77,8,69,13,77,8,77,5
Port Adelaide,78,6,77,9,71,10,79,5,80,6,78,6,77,5
Western Bulldogs,87,1,83,2,72,8,65,16,69,13,80,2,76,8
Fremantle,81,5,78,7,65,17,81,1,76,7,76,10,76,8
Collingwood,64,16,73,12,75,7,80,4,89,1,77,8,76,8
Gold Coast,83,4,68,15,69,15,79,5,82,4,76,10,76,8
Hawthorn,64,16,69,14,81,5,77,8,84,3,75,12,75,12
Adelaide,77,7,66,16,70,12,73,14,87,2,66,16,73,13
GWS Giants,70,13,71,13,71,10,76,10,76,7,72,13,73,13
St Kilda,74,11,75,11,70,12,75,12,73,10,72,13,73,13
Essendon,72,12,79,6,69,15,62,17,59,18,68,15,68,16
West Coast,59,18,60,17,80,6,62,17,72,12,64,17,66,17
North Melbourne,68,14,58,18,56,18,67,15,62,17,64,17,62,18
